"Step","ViT-Tiny_cifar10_lion_256 - train/loss","ViT-Tiny_cifar10_lion_256 - train/loss__MIN","ViT-Tiny_cifar10_lion_256 - train/loss__MAX","ViT-Tiny_cifar10_adafactor_256 - train/loss","ViT-Tiny_cifar10_adafactor_256 - train/loss__MIN","ViT-Tiny_cifar10_adafactor_256 - train/loss__MAX","ViT-Tiny_cifar10_adamw_256 - train/loss","ViT-Tiny_cifar10_adamw_256 - train/loss__MIN","ViT-Tiny_cifar10_adamw_256 - train/loss__MAX","ViT-Tiny_cifar10_adam-mini_256 - train/loss","ViT-Tiny_cifar10_adam-mini_256 - train/loss__MIN","ViT-Tiny_cifar10_adam-mini_256 - train/loss__MAX","ViT-Tiny_cifar10_sgd_256 - train/loss","ViT-Tiny_cifar10_sgd_256 - train/loss__MIN","ViT-Tiny_cifar10_sgd_256 - train/loss__MAX","ViT-Tiny_cifar10_adam_256 - train/loss","ViT-Tiny_cifar10_adam_256 - train/loss__MIN","ViT-Tiny_cifar10_adam_256 - train/loss__MAX"
"0","1.9259091512680053","1.9259091512680053","1.9259091512680053","1.9438910663604736","1.9438910663604736","1.9438910663604736","1.9204693099975585","1.9204693099975585","1.9204693099975585","1.9249337085723877","1.9249337085723877","1.9249337085723877","2.2129009044647217","2.2129009044647217","2.2129009044647217","1.942992992401123","1.942992992401123","1.942992992401123"
"1","1.7313444583892823","1.7313444583892823","1.7313444583892823","1.7924102939605713","1.7924102939605713","1.7924102939605713","1.7411167976379394","1.7411167976379394","1.7411167976379394","1.7669001976013183","1.7669001976013183","1.7669001976013183","2.0628718982696532","2.0628718982696532","2.0628718982696532","1.7758971977233886","1.7758971977233886","1.7758971977233886"
"2","1.5248868349075317","1.5248868349075317","1.5248868349075317","1.6616855270385742","1.6616855270385742","1.6616855270385742","1.542281719970703","1.542281719970703","1.542281719970703","1.5803950401306153","1.5803950401306153","1.5803950401306153","1.9959645961761474","1.9959645961761474","1.9959645961761474","1.5843635276794434","1.5843635276794434","1.5843635276794434"
"3","1.3713789478302","1.3713789478302","1.3713789478302","1.4833754220962525","1.4833754220962525","1.4833754220962525","1.3999090923309325","1.3999090923309325","1.3999090923309325","1.4385317543029785","1.4385317543029785","1.4385317543029785","1.9610195505142212","1.9610195505142212","1.9610195505142212","1.4223749980926514","1.4223749980926514","1.4223749980926514"
"4","1.2814204341888429","1.2814204341888429","1.2814204341888429","1.3833398517608642","1.3833398517608642","1.3833398517608642","1.3330478813171387","1.3330478813171387","1.3330478813171387","1.350020970916748","1.350020970916748","1.350020970916748","1.9170779724121094","1.9170779724121094","1.9170779724121094","1.3146476402282714","1.3146476402282714","1.3146476402282714"
"5","1.2240095520019532","1.2240095520019532","1.2240095520019532","1.2937367336273193","1.2937367336273193","1.2937367336273193","1.2863555862426759","1.2863555862426759","1.2863555862426759","1.3022873277664184","1.3022873277664184","1.3022873277664184","1.8681247652053834","1.8681247652053834","1.8681247652053834","1.257165226173401","1.257165226173401","1.257165226173401"
"6","1.1480425846099853","1.1480425846099853","1.1480425846099853","1.226773275756836","1.226773275756836","1.226773275756836","1.2100681360244752","1.2100681360244752","1.2100681360244752","1.2381212670326234","1.2381212670326234","1.2381212670326234","1.8254878425598144","1.8254878425598144","1.8254878425598144","1.1856366390228272","1.1856366390228272","1.1856366390228272"
"7","1.087520816230774","1.087520816230774","1.087520816230774","1.159508097076416","1.159508097076416","1.159508097076416","1.1674534400939942","1.1674534400939942","1.1674534400939942","1.1925700023651122","1.1925700023651122","1.1925700023651122","1.7887204696655274","1.7887204696655274","1.7887204696655274","1.1323583042144776","1.1323583042144776","1.1323583042144776"
"8","1.0254263008117677","1.0254263008117677","1.0254263008117677","1.1261715606689453","1.1261715606689453","1.1261715606689453","1.1167715089797974","1.1167715089797974","1.1167715089797974","1.1489659557342529","1.1489659557342529","1.1489659557342529","1.755062917137146","1.755062917137146","1.755062917137146","1.1024718954086303","1.1024718954086303","1.1024718954086303"
"9","0.9648141290664672","0.9648141290664672","0.9648141290664672","1.0831279693603515","1.0831279693603515","1.0831279693603515","1.078059981060028","1.078059981060028","1.078059981060028","1.0996345859527588","1.0996345859527588","1.0996345859527588","1.7321095878601074","1.7321095878601074","1.7321095878601074","1.0508902379989624","1.0508902379989624","1.0508902379989624"
"10","0.9134147146224976","0.9134147146224976","0.9134147146224976","1.04338899974823","1.04338899974823","1.04338899974823","1.0254589900970459","1.0254589900970459","1.0254589900970459","1.062092091369629","1.062092091369629","1.062092091369629","1.7140606311798097","1.7140606311798097","1.7140606311798097","1.018190859413147","1.018190859413147","1.018190859413147"
"11","0.858552585220337","0.858552585220337","0.858552585220337","1.0021265617370605","1.0021265617370605","1.0021265617370605","0.9921376560211181","0.9921376560211181","0.9921376560211181","1.0379773796081544","1.0379773796081544","1.0379773796081544","1.6973041996002198","1.6973041996002198","1.6973041996002198","0.9849061635971069","0.9849061635971069","0.9849061635971069"
"12","0.8152379316329956","0.8152379316329956","0.8152379316329956","0.965068123626709","0.965068123626709","0.965068123626709","0.9635189792633057","0.9635189792633057","0.9635189792633057","0.9991841186523438","0.9991841186523438","0.9991841186523438","1.6830227325439453","1.6830227325439453","1.6830227325439453","0.9556577159881592","0.9556577159881592","0.9556577159881592"
"13","0.7732352605819702","0.7732352605819702","0.7732352605819702","0.9352271485328675","0.9352271485328675","0.9352271485328675","0.9428412986755371","0.9428412986755371","0.9428412986755371","0.9637632537841797","0.9637632537841797","0.9637632537841797","1.6628188911437989","1.6628188911437989","1.6628188911437989","0.9237229763031006","0.9237229763031006","0.9237229763031006"
"14","0.7455317956924439","0.7455317956924439","0.7455317956924439","0.9047821680068969","0.9047821680068969","0.9047821680068969","0.9217272386550903","0.9217272386550903","0.9217272386550903","0.9375530394554138","0.9375530394554138","0.9375530394554138","1.651418639755249","1.651418639755249","1.651418639755249","0.9025195550918579","0.9025195550918579","0.9025195550918579"
"15","0.7112109676361084","0.7112109676361084","0.7112109676361084","0.8792212920188904","0.8792212920188904","0.8792212920188904","0.8824317037582398","0.8824317037582398","0.8824317037582398","0.9007734391212463","0.9007734391212463","0.9007734391212463","1.6301195888519286","1.6301195888519286","1.6301195888519286","0.8691807557106018","0.8691807557106018","0.8691807557106018"
"16","0.6806880415916443","0.6806880415916443","0.6806880415916443","0.8399477840423584","0.8399477840423584","0.8399477840423584","0.8599058411598206","0.8599058411598206","0.8599058411598206","0.889972140789032","0.889972140789032","0.889972140789032","1.6196716470718384","1.6196716470718384","1.6196716470718384","0.8363075827598572","0.8363075827598572","0.8363075827598572"
"17","0.6551289503097534","0.6551289503097534","0.6551289503097534","0.820148095703125","0.820148095703125","0.820148095703125","0.8317709575653076","0.8317709575653076","0.8317709575653076","0.8636284013748169","0.8636284013748169","0.8636284013748169","1.6072159931182861","1.6072159931182861","1.6072159931182861","0.8103155534744263","0.8103155534744263","0.8103155534744263"
"18","0.6323671033382415","0.6323671033382415","0.6323671033382415","0.7937555658340454","0.7937555658340454","0.7937555658340454","0.8085758405685425","0.8085758405685425","0.8085758405685425","0.8316920847892761","0.8316920847892761","0.8316920847892761","1.5914062015533448","1.5914062015533448","1.5914062015533448","0.7962766620635986","0.7962766620635986","0.7962766620635986"
"19","0.5982552996635437","0.5982552996635437","0.5982552996635437","0.7771342189788818","0.7771342189788818","0.7771342189788818","0.7817922932624817","0.7817922932624817","0.7817922932624817","0.8210254553794861","0.8210254553794861","0.8210254553794861","1.5812306457519532","1.5812306457519532","1.5812306457519532","0.7645581995010376","0.7645581995010376","0.7645581995010376"
"20","0.5775578771591187","0.5775578771591187","0.5775578771591187","0.7473068672180175","0.7473068672180175","0.7473068672180175","0.7655046211242675","0.7655046211242675","0.7655046211242675","0.7952525602340699","0.7952525602340699","0.7952525602340699","1.5690756740570069","1.5690756740570069","1.5690756740570069","0.7422979839324951","0.7422979839324951","0.7422979839324951"
"21","0.5541028280258179","0.5541028280258179","0.5541028280258179","0.7377190502166748","0.7377190502166748","0.7377190502166748","0.7351208307266235","0.7351208307266235","0.7351208307266235","0.7806862895011902","0.7806862895011902","0.7806862895011902","1.5571718906402587","1.5571718906402587","1.5571718906402587","0.7144219951629639","0.7144219951629639","0.7144219951629639"
"22","0.5423566334724427","0.5423566334724427","0.5423566334724427","0.7048961518287659","0.7048961518287659","0.7048961518287659","0.7170554414749145","0.7170554414749145","0.7170554414749145","0.7402623233795166","0.7402623233795166","0.7402623233795166","1.5490675857543945","1.5490675857543945","1.5490675857543945","0.7032849675178527","0.7032849675178527","0.7032849675178527"
"23","0.518646925163269","0.518646925163269","0.518646925163269","0.6915377285957336","0.6915377285957336","0.6915377285957336","0.7010159353256226","0.7010159353256226","0.7010159353256226","0.7283886152267456","0.7283886152267456","0.7283886152267456","1.5341837692260742","1.5341837692260742","1.5341837692260742","0.6798424338340759","0.6798424338340759","0.6798424338340759"
"24","0.5034363923072815","0.5034363923072815","0.5034363923072815","0.6661090265274048","0.6661090265274048","0.6661090265274048","0.6812006338119507","0.6812006338119507","0.6812006338119507","0.7100712750434875","0.7100712750434875","0.7100712750434875","1.5253251148223876","1.5253251148223876","1.5253251148223876","0.6580898036956787","0.6580898036956787","0.6580898036956787"
