,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.047857070580506936,0.06530570983886723,0.059376633167266844,0.081514972448349,0.0759346008300781
adafactor,0.047857070580506936,0.0,0.07571364060426375,0.06673699158888595,0.10938867544516544,0.07965688827710275
adamw,0.06530570983886723,0.07571364060426375,0.0,0.06111520420421253,0.07124184237586129,0.05091452044109968
adam-mini,0.059376633167266844,0.06673699158888595,0.06111520420421253,0.0,0.09021492357607237,0.05736444162767987
sgd,0.081514972448349,0.10938867544516544,0.07124184237586129,0.09021492357607237,0.0,0.0780648187149403
adam,0.0759346008300781,0.07965688827710275,0.05091452044109968,0.05736444162767987,0.0780648187149403,0.0
