,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.20261091071289855,0.07004009283982314,0.04998282952742143,0.09178552070221344,0.05990222831825157
adafactor,0.20261091071289855,0.0,0.24722812201950575,0.18903285068470044,0.2789466538272061,0.22448872995900584
adamw,0.07004009283982314,0.24722812201950575,0.0,0.07161730591968823,0.05389219644118329,0.04728876302639643
adam-mini,0.04998282952742143,0.18903285068470044,0.07161730591968823,0.0,0.09666600791356897,0.06270847782011955
sgd,0.09178552070221344,0.2789466538272061,0.05389219644118329,0.09666600791356897,0.0,0.07347725580135982
adam,0.05990222831825157,0.22448872995900584,0.04728876302639643,0.06270847782011955,0.07347725580135982,0.0
