,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.03844260351174729,0.0713945910347892,0.07396282700507016,0.08341119552346672,0.0863530833432262
adafactor,0.03844260351174729,0.0,0.054927963930215075,0.06180388734834128,0.08271977409686507,0.07424104921165299
adamw,0.0713945910347892,0.054927963930215075,0.0,0.07307436296251522,0.07741087562451429,0.06769540371863195
adam-mini,0.07396282700507016,0.06180388734834128,0.07307436296251522,0.0,0.09548949945550683,0.07009384731419432
sgd,0.08341119552346672,0.08271977409686507,0.07741087562451429,0.09548949945550683,0.0,0.07955410784185922
adam,0.0863530833432262,0.07424104921165299,0.06769540371863195,0.07009384731419432,0.07955410784185922,0.0
