,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.07679759641077731,0.06620863753529371,0.06009296045614786,0.07080218570834673,0.07341001082009416
adafactor,0.07679759641077731,0.0,0.06311060473692835,0.06194075401876783,0.06770015842790492,0.06262779086366659
adamw,0.06620863753529371,0.06311060473692835,0.0,0.06210339840114127,0.05908820369551819,0.057453857935832964
adam-mini,0.06009296045614786,0.06194075401876783,0.06210339840114127,0.0,0.06861821787628736,0.0616784632912326
sgd,0.07080218570834673,0.06770015842790492,0.05908820369551819,0.06861821787628736,0.0,0.06947711952253713
adam,0.07341001082009416,0.06262779086366659,0.057453857935832964,0.0616784632912326,0.06947711952253713,0.0
