"Step","ResNet-18_cifar100_lion_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_lion_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_lion_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adafactor_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adafactor_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adafactor_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adamw_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adamw_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adamw_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adam-mini_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adam-mini_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adam-mini_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_sgd_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_sgd_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_sgd_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adam_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adam_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adam_512 - memory/train_peak_gpu_memory_mb__MAX"
"0","2512.8486328125","2512.8486328125","2512.8486328125","2542.42578125","2542.42578125","2542.42578125","2554.77783203125","2554.77783203125","2554.77783203125","2512.888671875","2512.888671875","2512.888671875","2512.8486328125","2512.8486328125","2512.8486328125","2555.65283203125","2555.65283203125","2555.65283203125"
"1","2556.57666015625","2556.57666015625","2556.57666015625","2588.39794921875","2588.39794921875","2588.39794921875","2598.630859375","2598.630859375","2598.630859375","2556.61083984375","2556.61083984375","2556.61083984375","2557.57666015625","2557.57666015625","2557.57666015625","2600.380859375","2600.380859375","2600.380859375"
"2","2557.07666015625","2557.07666015625","2557.07666015625","2587.89794921875","2587.89794921875","2587.89794921875","2597.755859375","2597.755859375","2597.755859375","2557.11669921875","2557.11669921875","2557.11669921875","2556.57666015625","2556.57666015625","2556.57666015625","2598.505859375","2598.505859375","2598.505859375"
"3","2557.57666015625","2557.57666015625","2557.57666015625","2584.90380859375","2584.90380859375","2584.90380859375","2599.755859375","2599.755859375","2599.755859375","2556.36669921875","2556.36669921875","2556.36669921875","2556.57666015625","2556.57666015625","2556.57666015625","2599.755859375","2599.755859375","2599.755859375"
"4","2556.07666015625","2556.07666015625","2556.07666015625","2584.90380859375","2584.90380859375","2584.90380859375","2598.505859375","2598.505859375","2598.505859375","2556.36669921875","2556.36669921875","2556.36669921875","2556.57666015625","2556.57666015625","2556.57666015625","2598.130859375","2598.130859375","2598.130859375"
"5","2556.95166015625","2556.95166015625","2556.95166015625","2584.90380859375","2584.90380859375","2584.90380859375","2599.005859375","2599.005859375","2599.005859375","2557.61669921875","2557.61669921875","2557.61669921875","2556.57666015625","2556.57666015625","2556.57666015625","2599.875","2599.875","2599.875"
"6","2556.95166015625","2556.95166015625","2556.95166015625","2586.90380859375","2586.90380859375","2586.90380859375","2599.005859375","2599.005859375","2599.005859375","2558.11669921875","2558.11669921875","2558.11669921875","2556.57666015625","2556.57666015625","2556.57666015625","2598.505859375","2598.505859375","2598.505859375"
"7","2556.57666015625","2556.57666015625","2556.57666015625","2587.40380859375","2587.40380859375","2587.40380859375","2599.005859375","2599.005859375","2599.005859375","2558.11669921875","2558.11669921875","2558.11669921875","2556.57666015625","2556.57666015625","2556.57666015625","2598.505859375","2598.505859375","2598.505859375"
"8","2556.57666015625","2556.57666015625","2556.57666015625","2585.40380859375","2585.40380859375","2585.40380859375","2599.505859375","2599.505859375","2599.505859375","2555.86669921875","2555.86669921875","2555.86669921875","2556.57666015625","2556.57666015625","2556.57666015625","2599.005859375","2599.005859375","2599.005859375"
"9","2556.07666015625","2556.07666015625","2556.07666015625","2585.40380859375","2585.40380859375","2585.40380859375","2599.505859375","2599.505859375","2599.505859375","2555.86669921875","2555.86669921875","2555.86669921875","2556.57666015625","2556.57666015625","2556.57666015625","2600.25","2600.25","2600.25"
"10","2557.07080078125","2557.07080078125","2557.07080078125","2584.40380859375","2584.40380859375","2584.40380859375","2598.505859375","2598.505859375","2598.505859375","2557.61669921875","2557.61669921875","2557.61669921875","2557.57666015625","2557.57666015625","2557.57666015625","2599.255859375","2599.255859375","2599.255859375"
"11","2556.07666015625","2556.07666015625","2556.07666015625","2584.40380859375","2584.40380859375","2584.40380859375","2598.005859375","2598.005859375","2598.005859375","2556.11669921875","2556.11669921875","2556.11669921875","2557.57080078125","2557.57080078125","2557.57080078125","2599.380859375","2599.380859375","2599.380859375"
"12","2557.32666015625","2557.32666015625","2557.32666015625","2585.40380859375","2585.40380859375","2585.40380859375","2598.630859375","2598.630859375","2598.630859375","2556.61083984375","2556.61083984375","2556.61083984375","2557.82666015625","2557.82666015625","2557.82666015625","2599.130859375","2599.130859375","2599.130859375"
"13","2557.07666015625","2557.07666015625","2557.07666015625","2585.40380859375","2585.40380859375","2585.40380859375","2599.25","2599.25","2599.25","2557.86669921875","2557.86669921875","2557.86669921875","2557.57666015625","2557.57666015625","2557.57666015625","2599.880859375","2599.880859375","2599.880859375"
"14","2556.07666015625","2556.07666015625","2556.07666015625","2584.15380859375","2584.15380859375","2584.15380859375","2598.755859375","2598.755859375","2598.755859375","2556.86669921875","2556.86669921875","2556.86669921875","2556.57666015625","2556.57666015625","2556.57666015625","2599.380859375","2599.380859375","2599.380859375"
"15","2556.07666015625","2556.07666015625","2556.07666015625","2584.15380859375","2584.15380859375","2584.15380859375","2598.755859375","2598.755859375","2598.755859375","2556.86669921875","2556.86669921875","2556.86669921875","2557.57666015625","2557.57666015625","2557.57666015625","2599.380859375","2599.380859375","2599.380859375"
"16","2556.07666015625","2556.07666015625","2556.07666015625","2584.15380859375","2584.15380859375","2584.15380859375","2598.755859375","2598.755859375","2598.755859375","2556.86669921875","2556.86669921875","2556.86669921875","2557.57666015625","2557.57666015625","2557.57666015625","2599.380859375","2599.380859375","2599.380859375"
"17","2556.07666015625","2556.07666015625","2556.07666015625","2585.40380859375","2585.40380859375","2585.40380859375","2598.755859375","2598.755859375","2598.755859375","2556.36669921875","2556.36669921875","2556.36669921875","2557.57666015625","2557.57666015625","2557.57666015625","2597.880859375","2597.880859375","2597.880859375"
"18","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2598.755859375","2598.755859375","2598.755859375","2556.36669921875","2556.36669921875","2556.36669921875","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"19","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2598.755859375","2598.755859375","2598.755859375","2556.36669921875","2556.36669921875","2556.36669921875","2557.32666015625","2557.32666015625","2557.32666015625","2599.755859375","2599.755859375","2599.755859375"
"20","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.130859375","2599.130859375","2599.130859375","2556.61669921875","2556.61669921875","2556.61669921875","2557.32080078125","2557.32080078125","2557.32080078125","2599.755859375","2599.755859375","2599.755859375"
"21","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.130859375","2599.130859375","2599.130859375","2557.61669921875","2557.61669921875","2557.61669921875","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"22","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.130859375","2599.130859375","2599.130859375","2557.61669921875","2557.61669921875","2557.61669921875","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"23","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.130859375","2599.130859375","2599.130859375","2556.36669921875","2556.36669921875","2556.36669921875","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"24","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.130859375","2599.130859375","2599.130859375","2557.36083984375","2557.36083984375","2557.36083984375","2556.32666015625","2556.32666015625","2556.32666015625","2599.755859375","2599.755859375","2599.755859375"
"25","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.130859375","2599.130859375","2599.130859375","2557.36083984375","2557.36083984375","2557.36083984375","2556.32666015625","2556.32666015625","2556.32666015625","2599.755859375","2599.755859375","2599.755859375"
"26","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2598.255859375","2598.255859375","2598.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2556.32666015625","2556.32666015625","2556.32666015625","2599.755859375","2599.755859375","2599.755859375"
"27","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2556.32666015625","2556.32666015625","2556.32666015625","2599.755859375","2599.755859375","2599.755859375"
"28","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2556.32666015625","2556.32666015625","2556.32666015625","2599.755859375","2599.755859375","2599.755859375"
"29","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2558.07666015625","2558.07666015625","2558.07666015625","2599.755859375","2599.755859375","2599.755859375"
"30","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"31","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"32","2556.07666015625","2556.07666015625","2556.07666015625","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"33","","","","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"34","","","","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"35","","","","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"36","","","","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"37","","","","2583.90380859375","2583.90380859375","2583.90380859375","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","2599.755859375","2599.755859375","2599.755859375"
"38","","","","","","","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","","",""
"39","","","","","","","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","","",""
"40","","","","","","","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","","",""
"41","","","","","","","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","","",""
"42","","","","","","","2599.255859375","2599.255859375","2599.255859375","2557.36083984375","2557.36083984375","2557.36083984375","2557.07666015625","2557.07666015625","2557.07666015625","","",""
"43","","","","","","","2599.255859375","2599.255859375","2599.255859375","","","","2557.07666015625","2557.07666015625","2557.07666015625","","",""
"44","","","","","","","2599.255859375","2599.255859375","2599.255859375","","","","2557.07666015625","2557.07666015625","2557.07666015625","","",""
"45","","","","","","","2599.255859375","2599.255859375","2599.255859375","","","","2557.07666015625","2557.07666015625","2557.07666015625","","",""
"46","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"47","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"48","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"49","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"50","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"51","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"52","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"53","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"54","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"55","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"56","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"57","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"58","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"59","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"60","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"61","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"62","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"63","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"64","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
"65","","","","","","","","","","","","","2556.82666015625","2556.82666015625","2556.82666015625","","",""
