"Step","ResNet-18_cifar100_lion_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_lion_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_lion_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adafactor_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adafactor_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adafactor_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adamw_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adamw_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adamw_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adam-mini_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adam-mini_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adam-mini_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_sgd_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_sgd_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_sgd_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar100_adam_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar100_adam_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar100_adam_1024 - memory/train_peak_gpu_memory_mb__MAX"
"0","4862.4296875","4862.4296875","4862.4296875","4892.8818359375","4892.8818359375","4892.8818359375","4906.98388671875","4906.98388671875","4906.98388671875","4862.5947265625","4862.5947265625","4862.5947265625","4862.4296875","4862.4296875","4862.4296875","4906.23388671875","4906.23388671875","4906.23388671875"
"1","4907.15771484375","4907.15771484375","4907.15771484375","4936.23486328125","4936.23486328125","4936.23486328125","4952.2119140625","4952.2119140625","4952.2119140625","4907.81103515625","4907.81103515625","4907.81103515625","4907.65771484375","4907.65771484375","4907.65771484375","4950.5869140625","4950.5869140625","4950.5869140625"
"2","4906.40771484375","4906.40771484375","4906.40771484375","4936.85986328125","4936.85986328125","4936.85986328125","4951.2119140625","4951.2119140625","4951.2119140625","4905.82275390625","4905.82275390625","4905.82275390625","4906.40771484375","4906.40771484375","4906.40771484375","4950.4619140625","4950.4619140625","4950.4619140625"
"3","4908.15771484375","4908.15771484375","4908.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4953.2119140625","4953.2119140625","4953.2119140625","4906.82275390625","4906.82275390625","4906.82275390625","4906.40771484375","4906.40771484375","4906.40771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"4","4906.15771484375","4906.15771484375","4906.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4953.2119140625","4953.2119140625","4953.2119140625","4906.82275390625","4906.82275390625","4906.82275390625","4906.40771484375","4906.40771484375","4906.40771484375","4951.2119140625","4951.2119140625","4951.2119140625"
"5","4907.15771484375","4907.15771484375","4907.15771484375","4937.35986328125","4937.35986328125","4937.35986328125","4950.7119140625","4950.7119140625","4950.7119140625","4906.82275390625","4906.82275390625","4906.82275390625","4906.40771484375","4906.40771484375","4906.40771484375","4950.4619140625","4950.4619140625","4950.4619140625"
"6","4907.15771484375","4907.15771484375","4907.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4950.7119140625","4950.7119140625","4950.7119140625","4906.32275390625","4906.32275390625","4906.32275390625","4906.40771484375","4906.40771484375","4906.40771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"7","4906.78271484375","4906.78271484375","4906.78271484375","4935.73486328125","4935.73486328125","4935.73486328125","4954.2119140625","4954.2119140625","4954.2119140625","4906.32275390625","4906.32275390625","4906.32275390625","4906.40771484375","4906.40771484375","4906.40771484375","4949.9619140625","4949.9619140625","4949.9619140625"
"8","4906.15771484375","4906.15771484375","4906.15771484375","4935.73486328125","4935.73486328125","4935.73486328125","4952.2119140625","4952.2119140625","4952.2119140625","4907.57275390625","4907.57275390625","4907.57275390625","4907.40771484375","4907.40771484375","4907.40771484375","4950.7119140625","4950.7119140625","4950.7119140625"
"9","4906.65771484375","4906.65771484375","4906.65771484375","4936.60986328125","4936.60986328125","4936.60986328125","4952.2119140625","4952.2119140625","4952.2119140625","4907.57275390625","4907.57275390625","4907.57275390625","4906.65771484375","4906.65771484375","4906.65771484375","4950.4619140625","4950.4619140625","4950.4619140625"
"10","4907.78271484375","4907.78271484375","4907.78271484375","4936.35986328125","4936.35986328125","4936.35986328125","4952.2119140625","4952.2119140625","4952.2119140625","4907.07275390625","4907.07275390625","4907.07275390625","4906.65771484375","4906.65771484375","4906.65771484375","4950.4619140625","4950.4619140625","4950.4619140625"
"11","4906.65771484375","4906.65771484375","4906.65771484375","4937.10986328125","4937.10986328125","4937.10986328125","4952.7119140625","4952.7119140625","4952.7119140625","4907.07275390625","4907.07275390625","4907.07275390625","4906.65771484375","4906.65771484375","4906.65771484375","4949.2119140625","4949.2119140625","4949.2119140625"
"12","4906.65771484375","4906.65771484375","4906.65771484375","4936.35986328125","4936.35986328125","4936.35986328125","4952.7119140625","4952.7119140625","4952.7119140625","4906.82275390625","4906.82275390625","4906.82275390625","4906.65771484375","4906.65771484375","4906.65771484375","4949.2119140625","4949.2119140625","4949.2119140625"
"13","4906.15771484375","4906.15771484375","4906.15771484375","4936.35986328125","4936.35986328125","4936.35986328125","4952.7119140625","4952.7119140625","4952.7119140625","4906.82275390625","4906.82275390625","4906.82275390625","4906.65771484375","4906.65771484375","4906.65771484375","4951.4619140625","4951.4619140625","4951.4619140625"
"14","4906.15771484375","4906.15771484375","4906.15771484375","4936.85986328125","4936.85986328125","4936.85986328125","4952.4619140625","4952.4619140625","4952.4619140625","4907.07275390625","4907.07275390625","4907.07275390625","4906.65771484375","4906.65771484375","4906.65771484375","4951.4619140625","4951.4619140625","4951.4619140625"
"15","4905.90771484375","4905.90771484375","4905.90771484375","4936.85986328125","4936.85986328125","4936.85986328125","4952.2119140625","4952.2119140625","4952.2119140625","4907.07275390625","4907.07275390625","4907.07275390625","4906.65771484375","4906.65771484375","4906.65771484375","4951.4619140625","4951.4619140625","4951.4619140625"
"16","4905.90771484375","4905.90771484375","4905.90771484375","4936.85986328125","4936.85986328125","4936.85986328125","4951.7119140625","4951.7119140625","4951.7119140625","4907.07275390625","4907.07275390625","4907.07275390625","4907.65771484375","4907.65771484375","4907.65771484375","4950.7119140625","4950.7119140625","4950.7119140625"
"17","4905.65771484375","4905.65771484375","4905.65771484375","4936.10986328125","4936.10986328125","4936.10986328125","4951.7119140625","4951.7119140625","4951.7119140625","4906.32275390625","4906.32275390625","4906.32275390625","4907.65771484375","4907.65771484375","4907.65771484375","4950.7119140625","4950.7119140625","4950.7119140625"
"18","4905.90771484375","4905.90771484375","4905.90771484375","4936.10986328125","4936.10986328125","4936.10986328125","4951.4619140625","4951.4619140625","4951.4619140625","4906.32275390625","4906.32275390625","4906.32275390625","4905.65771484375","4905.65771484375","4905.65771484375","4950.7119140625","4950.7119140625","4950.7119140625"
"19","4906.15771484375","4906.15771484375","4906.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4951.4619140625","4951.4619140625","4951.4619140625","4906.32275390625","4906.32275390625","4906.32275390625","4905.65771484375","4905.65771484375","4905.65771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"20","4906.15771484375","4906.15771484375","4906.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4952.2119140625","4952.2119140625","4952.2119140625","4906.32275390625","4906.32275390625","4906.32275390625","4905.65771484375","4905.65771484375","4905.65771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"21","4906.15771484375","4906.15771484375","4906.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4952.2119140625","4952.2119140625","4952.2119140625","4906.32275390625","4906.32275390625","4906.32275390625","4906.90771484375","4906.90771484375","4906.90771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"22","4906.15771484375","4906.15771484375","4906.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4952.2119140625","4952.2119140625","4952.2119140625","4906.32275390625","4906.32275390625","4906.32275390625","4906.90771484375","4906.90771484375","4906.90771484375","4951.4619140625","4951.4619140625","4951.4619140625"
"23","4906.15771484375","4906.15771484375","4906.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4951.7119140625","4951.7119140625","4951.7119140625","4906.32275390625","4906.32275390625","4906.32275390625","4906.15771484375","4906.15771484375","4906.15771484375","4951.4619140625","4951.4619140625","4951.4619140625"
"24","4906.15771484375","4906.15771484375","4906.15771484375","4936.10986328125","4936.10986328125","4936.10986328125","4951.7119140625","4951.7119140625","4951.7119140625","4906.82275390625","4906.82275390625","4906.82275390625","4906.15771484375","4906.15771484375","4906.15771484375","4950.7119140625","4950.7119140625","4950.7119140625"
"25","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4951.7119140625","4951.7119140625","4951.7119140625","4906.82275390625","4906.82275390625","4906.82275390625","4906.15771484375","4906.15771484375","4906.15771484375","4950.7119140625","4950.7119140625","4950.7119140625"
"26","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4951.7119140625","4951.7119140625","4951.7119140625","4906.82275390625","4906.82275390625","4906.82275390625","4906.15771484375","4906.15771484375","4906.15771484375","4949.0869140625","4949.0869140625","4949.0869140625"
"27","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4906.15771484375","4906.15771484375","4906.15771484375","4949.0869140625","4949.0869140625","4949.0869140625"
"28","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4906.15771484375","4906.15771484375","4906.15771484375","4951.3369140625","4951.3369140625","4951.3369140625"
"29","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4906.15771484375","4906.15771484375","4906.15771484375","4951.3369140625","4951.3369140625","4951.3369140625"
"30","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4906.15771484375","4906.15771484375","4906.15771484375","4949.9619140625","4949.9619140625","4949.9619140625"
"31","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4906.15771484375","4906.15771484375","4906.15771484375","4949.9619140625","4949.9619140625","4949.9619140625"
"32","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4906.15771484375","4906.15771484375","4906.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"33","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4906.15771484375","4906.15771484375","4906.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"34","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"35","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"36","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"37","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"38","4906.15771484375","4906.15771484375","4906.15771484375","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"39","","","","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"40","","","","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"41","","","","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"42","","","","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"43","","","","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"44","","","","4936.73486328125","4936.73486328125","4936.73486328125","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"45","","","","","","","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"46","","","","","","","4952.9619140625","4952.9619140625","4952.9619140625","4908.32275390625","4908.32275390625","4908.32275390625","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"47","","","","","","","","","","","","","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"48","","","","","","","","","","","","","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"49","","","","","","","","","","","","","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"50","","","","","","","","","","","","","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"51","","","","","","","","","","","","","4907.15771484375","4907.15771484375","4907.15771484375","4950.9619140625","4950.9619140625","4950.9619140625"
"52","","","","","","","","","","","","","4907.15771484375","4907.15771484375","4907.15771484375","","",""
"53","","","","","","","","","","","","","4907.15771484375","4907.15771484375","4907.15771484375","","",""
