,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.392578125,20.4794921875,0.2744140625,0.0,20.4794921875
adafactor,0.392578125,0.0,20.0869140625,0.1181640625,0.392578125,20.0869140625
adamw,20.4794921875,20.0869140625,0.0,20.205078125,20.4794921875,0.0
adam-mini,0.2744140625,0.1181640625,20.205078125,0.0,0.2744140625,20.205078125
sgd,0.0,0.392578125,20.4794921875,0.2744140625,0.0,20.4794921875
adam,20.4794921875,20.0869140625,0.0,20.205078125,20.4794921875,0.0
