"Step","ViT-Tiny_cifar100_lion_256 - train/loss","ViT-Tiny_cifar100_lion_256 - train/loss__MIN","ViT-Tiny_cifar100_lion_256 - train/loss__MAX","ViT-Tiny_cifar100_adafactor_256 - train/loss","ViT-Tiny_cifar100_adafactor_256 - train/loss__MIN","ViT-Tiny_cifar100_adafactor_256 - train/loss__MAX","ViT-Tiny_cifar100_adamw_256 - train/loss","ViT-Tiny_cifar100_adamw_256 - train/loss__MIN","ViT-Tiny_cifar100_adamw_256 - train/loss__MAX","ViT-Tiny_cifar100_adam-mini_256 - train/loss","ViT-Tiny_cifar100_adam-mini_256 - train/loss__MIN","ViT-Tiny_cifar100_adam-mini_256 - train/loss__MAX","ViT-Tiny_cifar100_sgd_256 - train/loss","ViT-Tiny_cifar100_sgd_256 - train/loss__MIN","ViT-Tiny_cifar100_sgd_256 - train/loss__MAX","ViT-Tiny_cifar100_adam_256 - train/loss","ViT-Tiny_cifar100_adam_256 - train/loss__MIN","ViT-Tiny_cifar100_adam_256 - train/loss__MAX"
"0","4.294654638671875","4.294654638671875","4.294654638671875","4.314539295959473","4.314539295959473","4.314539295959473","4.268719625854493","4.268719625854493","4.268719625854493","4.280700886535644","4.280700886535644","4.280700886535644","4.613657580566406","4.613657580566406","4.613657580566406","4.304521705627441","4.304521705627441","4.304521705627441"
"1","3.8853416664123537","3.8853416664123537","3.8853416664123537","3.970109049987793","3.970109049987793","3.970109049987793","3.8729995040893557","3.8729995040893557","3.8729995040893557","3.9229504280090333","3.9229504280090333","3.9229504280090333","4.516024821472168","4.516024821472168","4.516024821472168","3.9698232452392577","3.9698232452392577","3.9698232452392577"
"2","3.5409555198669436","3.5409555198669436","3.5409555198669436","3.7108697746276857","3.7108697746276857","3.7108697746276857","3.5641358978271485","3.5641358978271485","3.5641358978271485","3.642880827331543","3.642880827331543","3.642880827331543","4.430208215332032","4.430208215332032","4.430208215332032","3.670663613510132","3.670663613510132","3.670663613510132"
"3","3.2550623985290525","3.2550623985290525","3.2550623985290525","3.4983335777282716","3.4983335777282716","3.4983335777282716","3.311464751815796","3.311464751815796","3.311464751815796","3.3909984664916992","3.3909984664916992","3.3909984664916992","4.360736402893067","4.360736402893067","4.360736402893067","3.4200263175964354","3.4200263175964354","3.4200263175964354"
"4","3.020982760620117","3.020982760620117","3.020982760620117","3.3066562732696534","3.3066562732696534","3.3066562732696534","3.1311980411529543","3.1311980411529543","3.1311980411529543","3.1949466835021973","3.1949466835021973","3.1949466835021973","4.298194270324707","4.298194270324707","4.298194270324707","3.18897094039917","3.18897094039917","3.18897094039917"
"5","2.8575544456481934","2.8575544456481934","2.8575544456481934","3.1159550079345704","3.1159550079345704","3.1159550079345704","3.003464640045166","3.003464640045166","3.003464640045166","3.0488341190338133","3.0488341190338133","3.0488341190338133","4.237757849121094","4.237757849121094","4.237757849121094","3.0246962715148924","3.0246962715148924","3.0246962715148924"
"6","2.655046757888794","2.655046757888794","2.655046757888794","2.9205753463745117","2.9205753463745117","2.9205753463745117","2.8634097427368164","2.8634097427368164","2.8634097427368164","2.908073046875","2.908073046875","2.908073046875","4.172006767272949","4.172006767272949","4.172006767272949","2.872434861755371","2.872434861755371","2.872434861755371"
"7","2.4657042640686035","2.4657042640686035","2.4657042640686035","2.772135836791992","2.772135836791992","2.772135836791992","2.7460611686706544","2.7460611686706544","2.7460611686706544","2.7651592765808104","2.7651592765808104","2.7651592765808104","4.108297102355957","4.108297102355957","4.108297102355957","2.74056014251709","2.74056014251709","2.74056014251709"
"8","2.2816114570617674","2.2816114570617674","2.2816114570617674","2.6484728179931643","2.6484728179931643","2.6484728179931643","2.640258563232422","2.640258563232422","2.640258563232422","2.660813452911377","2.660813452911377","2.660813452911377","4.053241945266723","4.053241945266723","4.053241945266723","2.628629917907715","2.628629917907715","2.628629917907715"
"9","2.105679475402832","2.105679475402832","2.105679475402832","2.5366626640319825","2.5366626640319825","2.5366626640319825","2.5274475257873537","2.5274475257873537","2.5274475257873537","2.552795267486572","2.552795267486572","2.552795267486572","4.003068712615967","4.003068712615967","4.003068712615967","2.5170275703430174","2.5170275703430174","2.5170275703430174"
"10","1.9487811576843261","1.9487811576843261","1.9487811576843261","2.428396785736084","2.428396785736084","2.428396785736084","2.4301522274017335","2.4301522274017335","2.4301522274017335","2.451615153503418","2.451615153503418","2.451615153503418","3.956713262939453","3.956713262939453","3.956713262939453","2.4230829330444337","2.4230829330444337","2.4230829330444337"
