"Step","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb__MAX"
"17","2553.44775390625","2553.44775390625","2553.44775390625","2586.27490234375","2586.27490234375","2586.27490234375","2598.6953125","2598.6953125","2598.6953125","2555.23779296875","2555.23779296875","2555.23779296875","2556.94775390625","2556.94775390625","2556.94775390625","2598.076171875","2598.076171875","2598.076171875"
"18","2554.57275390625","2554.57275390625","2554.57275390625","2586.27490234375","2586.27490234375","2586.27490234375","2598.4453125","2598.4453125","2598.4453125","2555.73779296875","2555.73779296875","2555.73779296875","2556.94775390625","2556.94775390625","2556.94775390625","2598.076171875","2598.076171875","2598.076171875"
"19","2554.57275390625","2554.57275390625","2554.57275390625","2585.52490234375","2585.52490234375","2585.52490234375","2598.4453125","2598.4453125","2598.4453125","2555.73779296875","2555.73779296875","2555.73779296875","2556.94775390625","2556.94775390625","2556.94775390625","2598.076171875","2598.076171875","2598.076171875"
"20","2553.44775390625","2553.44775390625","2553.44775390625","2585.27490234375","2585.27490234375","2585.27490234375","2598.4453125","2598.4453125","2598.4453125","2555.23779296875","2555.23779296875","2555.23779296875","2556.94775390625","2556.94775390625","2556.94775390625","2598.076171875","2598.076171875","2598.076171875"
"21","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.73193359375","2555.73193359375","2555.73193359375","2556.94775390625","2556.94775390625","2556.94775390625","2598.826171875","2598.826171875","2598.826171875"
"22","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.73193359375","2555.73193359375","2555.73193359375","2556.94775390625","2556.94775390625","2556.94775390625","2598.326171875","2598.326171875","2598.326171875"
"23","2553.44775390625","2553.44775390625","2553.44775390625","2587.52490234375","2587.52490234375","2587.52490234375","2599.4453125","2599.4453125","2599.4453125","2555.73193359375","2555.73193359375","2555.73193359375","2556.94775390625","2556.94775390625","2556.94775390625","2598.326171875","2598.326171875","2598.326171875"
"24","2553.44775390625","2553.44775390625","2553.44775390625","2588.01904296875","2588.01904296875","2588.01904296875","2599.201171875","2599.201171875","2599.201171875","2555.73193359375","2555.73193359375","2555.73193359375","2556.94775390625","2556.94775390625","2556.94775390625","2596.826171875","2596.826171875","2596.826171875"
"25","2553.44775390625","2553.44775390625","2553.44775390625","2587.27490234375","2587.27490234375","2587.27490234375","2599.201171875","2599.201171875","2599.201171875","2555.73193359375","2555.73193359375","2555.73193359375","2556.69775390625","2556.69775390625","2556.69775390625","2596.826171875","2596.826171875","2596.826171875"
"26","2553.44775390625","2553.44775390625","2553.44775390625","2587.27490234375","2587.27490234375","2587.27490234375","2599.201171875","2599.201171875","2599.201171875","2555.73193359375","2555.73193359375","2555.73193359375","2555.69775390625","2555.69775390625","2555.69775390625","2596.826171875","2596.826171875","2596.826171875"
"27","2553.44775390625","2553.44775390625","2553.44775390625","2587.27490234375","2587.27490234375","2587.27490234375","2599.201171875","2599.201171875","2599.201171875","2556.98779296875","2556.98779296875","2556.98779296875","2555.69775390625","2555.69775390625","2555.69775390625","2596.826171875","2596.826171875","2596.826171875"
"28","2553.44775390625","2553.44775390625","2553.44775390625","2586.02490234375","2586.02490234375","2586.02490234375","2599.201171875","2599.201171875","2599.201171875","2555.98779296875","2555.98779296875","2555.98779296875","2555.69775390625","2555.69775390625","2555.69775390625","2596.826171875","2596.826171875","2596.826171875"
"29","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2596.826171875","2596.826171875","2596.826171875"
"30","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.701171875","2598.701171875","2598.701171875"
"31","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.701171875","2598.701171875","2598.701171875"
"32","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.701171875","2598.701171875","2598.701171875"
"33","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.701171875","2598.701171875","2598.701171875"
"34","2553.44775390625","2553.44775390625","2553.44775390625","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.701171875","2598.701171875","2598.701171875"
"35","","","","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.701171875","2598.701171875","2598.701171875"
"36","","","","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.69775390625","2556.69775390625","2556.69775390625","2598.701171875","2598.701171875","2598.701171875"
"37","","","","2585.77490234375","2585.77490234375","2585.77490234375","2599.201171875","2599.201171875","2599.201171875","2555.23779296875","2555.23779296875","2555.23779296875","2556.19775390625","2556.19775390625","2556.19775390625","2598.701171875","2598.701171875","2598.701171875"
"38","","","","2585.77490234375","2585.77490234375","2585.77490234375","","","","2555.23779296875","2555.23779296875","2555.23779296875","2556.44775390625","2556.44775390625","2556.44775390625","2598.701171875","2598.701171875","2598.701171875"
"39","","","","2585.77490234375","2585.77490234375","2585.77490234375","","","","2555.23779296875","2555.23779296875","2555.23779296875","2556.44775390625","2556.44775390625","2556.44775390625","2598.701171875","2598.701171875","2598.701171875"
"40","","","","2585.77490234375","2585.77490234375","2585.77490234375","","","","2555.23779296875","2555.23779296875","2555.23779296875","2556.44775390625","2556.44775390625","2556.44775390625","2598.701171875","2598.701171875","2598.701171875"
"41","","","","2585.77490234375","2585.77490234375","2585.77490234375","","","","2555.23779296875","2555.23779296875","2555.23779296875","2556.44775390625","2556.44775390625","2556.44775390625","2598.701171875","2598.701171875","2598.701171875"
"42","","","","2585.77490234375","2585.77490234375","2585.77490234375","","","","2555.23779296875","2555.23779296875","2555.23779296875","2556.44775390625","2556.44775390625","2556.44775390625","2598.701171875","2598.701171875","2598.701171875"
"43","","","","","","","","","","2555.23779296875","2555.23779296875","2555.23779296875","2556.44775390625","2556.44775390625","2556.44775390625","2598.701171875","2598.701171875","2598.701171875"
"44","","","","","","","","","","","","","2556.44189453125","2556.44189453125","2556.44189453125","2598.701171875","2598.701171875","2598.701171875"
"45","","","","","","","","","","","","","2556.19775390625","2556.19775390625","2556.19775390625","","",""
