"Step","ResNet-18_cifar10_lion_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_lion_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_lion_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adafactor_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adafactor_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adafactor_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adamw_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adamw_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adamw_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam-mini_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam-mini_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam-mini_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_sgd_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_sgd_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_sgd_1024 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam_1024 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam_1024 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam_1024 - memory/train_peak_gpu_memory_mb__MAX"
"0","4863.30078125","4863.30078125","4863.30078125","4893.5029296875","4893.5029296875","4893.5029296875","4904.42919921875","4904.42919921875","4904.42919921875","4861.4658203125","4861.4658203125","4861.4658203125","4863.17578125","4863.17578125","4863.17578125","4905.17919921875","4905.17919921875","4905.17919921875"
"1","4908.35302734375","4908.35302734375","4908.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4948.9814453125","4948.9814453125","4948.9814453125","4906.51806640625","4906.51806640625","4906.51806640625","4907.35302734375","4907.35302734375","4907.35302734375","4949.3564453125","4949.3564453125","4949.3564453125"
"2","4907.35302734375","4907.35302734375","4907.35302734375","4936.80517578125","4936.80517578125","4936.80517578125","4946.9814453125","4946.9814453125","4946.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.22802734375","4906.22802734375","4906.22802734375","4949.2314453125","4949.2314453125","4949.2314453125"
"3","4908.60302734375","4908.60302734375","4908.60302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.9814453125","4946.9814453125","4946.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.22802734375","4906.22802734375","4906.22802734375","4949.7314453125","4949.7314453125","4949.7314453125"
"4","4907.35302734375","4907.35302734375","4907.35302734375","4937.80517578125","4937.80517578125","4937.80517578125","4948.9814453125","4948.9814453125","4948.9814453125","4906.01806640625","4906.01806640625","4906.01806640625","4906.22802734375","4906.22802734375","4906.22802734375","4949.7314453125","4949.7314453125","4949.7314453125"
"5","4907.60302734375","4907.60302734375","4907.60302734375","4937.80517578125","4937.80517578125","4937.80517578125","4948.9814453125","4948.9814453125","4948.9814453125","4906.01806640625","4906.01806640625","4906.01806640625","4906.22802734375","4906.22802734375","4906.22802734375","4949.9814453125","4949.9814453125","4949.9814453125"
"6","4908.35302734375","4908.35302734375","4908.35302734375","4938.05517578125","4938.05517578125","4938.05517578125","4946.9814453125","4946.9814453125","4946.9814453125","4906.76806640625","4906.76806640625","4906.76806640625","4906.22802734375","4906.22802734375","4906.22802734375","4949.9814453125","4949.9814453125","4949.9814453125"
"7","4907.60302734375","4907.60302734375","4907.60302734375","4937.80517578125","4937.80517578125","4937.80517578125","4948.9814453125","4948.9814453125","4948.9814453125","4905.76806640625","4905.76806640625","4905.76806640625","4906.22802734375","4906.22802734375","4906.22802734375","4949.2314453125","4949.2314453125","4949.2314453125"
"8","4908.10302734375","4908.10302734375","4908.10302734375","4937.80517578125","4937.80517578125","4937.80517578125","4947.9814453125","4947.9814453125","4947.9814453125","4905.76806640625","4905.76806640625","4905.76806640625","4906.85302734375","4906.85302734375","4906.85302734375","4949.2314453125","4949.2314453125","4949.2314453125"
"9","4906.10302734375","4906.10302734375","4906.10302734375","4938.05517578125","4938.05517578125","4938.05517578125","4947.9814453125","4947.9814453125","4947.9814453125","4906.51806640625","4906.51806640625","4906.51806640625","4906.72802734375","4906.72802734375","4906.72802734375","4949.7314453125","4949.7314453125","4949.7314453125"
"10","4906.60302734375","4906.60302734375","4906.60302734375","4938.05517578125","4938.05517578125","4938.05517578125","4946.9814453125","4946.9814453125","4946.9814453125","4906.26806640625","4906.26806640625","4906.26806640625","4906.72802734375","4906.72802734375","4906.72802734375","4949.7314453125","4949.7314453125","4949.7314453125"
"11","4906.60302734375","4906.60302734375","4906.60302734375","4936.80517578125","4936.80517578125","4936.80517578125","4946.9814453125","4946.9814453125","4946.9814453125","4906.26806640625","4906.26806640625","4906.26806640625","4906.72802734375","4906.72802734375","4906.72802734375","4948.7314453125","4948.7314453125","4948.7314453125"
"12","4907.60302734375","4907.60302734375","4907.60302734375","4936.80517578125","4936.80517578125","4936.80517578125","4946.9814453125","4946.9814453125","4946.9814453125","4907.26806640625","4907.26806640625","4907.26806640625","4906.72802734375","4906.72802734375","4906.72802734375","4948.7314453125","4948.7314453125","4948.7314453125"
"13","4908.35302734375","4908.35302734375","4908.35302734375","4936.80517578125","4936.80517578125","4936.80517578125","4948.4814453125","4948.4814453125","4948.4814453125","4906.51806640625","4906.51806640625","4906.51806640625","4906.10302734375","4906.10302734375","4906.10302734375","4949.4814453125","4949.4814453125","4949.4814453125"
"14","4908.35302734375","4908.35302734375","4908.35302734375","4937.55517578125","4937.55517578125","4937.55517578125","4948.4814453125","4948.4814453125","4948.4814453125","4906.51806640625","4906.51806640625","4906.51806640625","4906.10302734375","4906.10302734375","4906.10302734375","4949.4814453125","4949.4814453125","4949.4814453125"
"15","4908.35302734375","4908.35302734375","4908.35302734375","4936.55517578125","4936.55517578125","4936.55517578125","4948.4814453125","4948.4814453125","4948.4814453125","4906.51806640625","4906.51806640625","4906.51806640625","4906.35302734375","4906.35302734375","4906.35302734375","4949.4814453125","4949.4814453125","4949.4814453125"
"16","4907.60302734375","4907.60302734375","4907.60302734375","4936.55517578125","4936.55517578125","4936.55517578125","4946.7314453125","4946.7314453125","4946.7314453125","4907.01806640625","4907.01806640625","4907.01806640625","4906.35302734375","4906.35302734375","4906.35302734375","4949.4814453125","4949.4814453125","4949.4814453125"
"17","4908.35302734375","4908.35302734375","4908.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.7314453125","4946.7314453125","4946.7314453125","4907.01806640625","4907.01806640625","4907.01806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.4814453125","4949.4814453125","4949.4814453125"
"18","4908.35302734375","4908.35302734375","4908.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.7314453125","4946.7314453125","4946.7314453125","4907.01806640625","4907.01806640625","4907.01806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.4814453125","4949.4814453125","4949.4814453125"
"19","4908.35302734375","4908.35302734375","4908.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.9814453125","4947.9814453125","4947.9814453125","4907.01806640625","4907.01806640625","4907.01806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.2314453125","4949.2314453125","4949.2314453125"
"20","4908.35302734375","4908.35302734375","4908.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.9814453125","4947.9814453125","4947.9814453125","4906.26806640625","4906.26806640625","4906.26806640625","4906.72802734375","4906.72802734375","4906.72802734375","4949.2314453125","4949.2314453125","4949.2314453125"
"21","4908.35302734375","4908.35302734375","4908.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.9814453125","4947.9814453125","4947.9814453125","4907.01806640625","4907.01806640625","4907.01806640625","4906.72802734375","4906.72802734375","4906.72802734375","4947.9814453125","4947.9814453125","4947.9814453125"
"22","4908.35302734375","4908.35302734375","4908.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.9814453125","4947.9814453125","4947.9814453125","4907.01806640625","4907.01806640625","4907.01806640625","4906.72802734375","4906.72802734375","4906.72802734375","4947.9814453125","4947.9814453125","4947.9814453125"
"23","4908.35302734375","4908.35302734375","4908.35302734375","4938.05517578125","4938.05517578125","4938.05517578125","4947.9814453125","4947.9814453125","4947.9814453125","4905.26806640625","4905.26806640625","4905.26806640625","4906.72802734375","4906.72802734375","4906.72802734375","4947.9814453125","4947.9814453125","4947.9814453125"
"24","4908.35302734375","4908.35302734375","4908.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.9814453125","4947.9814453125","4947.9814453125","4905.26806640625","4905.26806640625","4905.26806640625","4906.72802734375","4906.72802734375","4906.72802734375","4950.2314453125","4950.2314453125","4950.2314453125"
"25","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.9814453125","4947.9814453125","4947.9814453125","4905.26806640625","4905.26806640625","4905.26806640625","4906.72802734375","4906.72802734375","4906.72802734375","4950.2314453125","4950.2314453125","4950.2314453125"
"26","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.7314453125","4946.7314453125","4946.7314453125","4905.26806640625","4905.26806640625","4905.26806640625","4905.85302734375","4905.85302734375","4905.85302734375","4950.2314453125","4950.2314453125","4950.2314453125"
"27","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4948.7314453125","4948.7314453125","4948.7314453125","4905.26806640625","4905.26806640625","4905.26806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.4814453125","4949.4814453125","4949.4814453125"
"28","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4948.7314453125","4948.7314453125","4948.7314453125","4905.26806640625","4905.26806640625","4905.26806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"29","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.2314453125","4947.2314453125","4947.2314453125","4904.14306640625","4904.14306640625","4904.14306640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"30","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.2314453125","4947.2314453125","4947.2314453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"31","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.2314453125","4947.2314453125","4947.2314453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"32","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.2314453125","4947.2314453125","4947.2314453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"33","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4947.2314453125","4947.2314453125","4947.2314453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"34","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.9814453125","4946.9814453125","4946.9814453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"35","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.9814453125","4946.9814453125","4946.9814453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"36","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.9814453125","4946.9814453125","4946.9814453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"37","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.9814453125","4946.9814453125","4946.9814453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"38","4907.35302734375","4907.35302734375","4907.35302734375","4937.05517578125","4937.05517578125","4937.05517578125","4946.9814453125","4946.9814453125","4946.9814453125","4905.76806640625","4905.76806640625","4905.76806640625","4905.85302734375","4905.85302734375","4905.85302734375","4949.7314453125","4949.7314453125","4949.7314453125"
"39","4907.35302734375","4907.35302734375","4907.35302734375","","","","4946.9814453125","4946.9814453125","4946.9814453125","4905.76806640625","4905.76806640625","4905.76806640625","4906.72802734375","4906.72802734375","4906.72802734375","4949.7314453125","4949.7314453125","4949.7314453125"
"40","","","","","","","4946.9814453125","4946.9814453125","4946.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.72802734375","4906.72802734375","4906.72802734375","4949.7314453125","4949.7314453125","4949.7314453125"
"41","","","","","","","4946.9814453125","4946.9814453125","4946.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.72802734375","4906.72802734375","4906.72802734375","4949.7314453125","4949.7314453125","4949.7314453125"
"42","","","","","","","4946.9814453125","4946.9814453125","4946.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.72802734375","4906.72802734375","4906.72802734375","4949.7314453125","4949.7314453125","4949.7314453125"
"43","","","","","","","4946.9814453125","4946.9814453125","4946.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.72802734375","4906.72802734375","4906.72802734375","","",""
"44","","","","","","","4947.9814453125","4947.9814453125","4947.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.72802734375","4906.72802734375","4906.72802734375","","",""
"45","","","","","","","4947.9814453125","4947.9814453125","4947.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.72802734375","4906.72802734375","4906.72802734375","","",""
"46","","","","","","","4947.9814453125","4947.9814453125","4947.9814453125","4905.51806640625","4905.51806640625","4905.51806640625","4906.72802734375","4906.72802734375","4906.72802734375","","",""
