"Step","ResNet-18_cifar10_lion_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_lion_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_lion_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adafactor_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adafactor_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adafactor_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adamw_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adamw_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adamw_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam-mini_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam-mini_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam-mini_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_sgd_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_sgd_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_sgd_256 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam_256 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam_256 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam_256 - memory/train_peak_gpu_memory_mb__MAX"
"0","1356.38037109375","1356.38037109375","1356.38037109375","1388.95751953125","1388.95751953125","1388.95751953125","1400.3837890625","1400.3837890625","1400.3837890625","1359.17041015625","1359.17041015625","1359.17041015625","1358.13037109375","1358.13037109375","1358.13037109375","1400.3837890625","1400.3837890625","1400.3837890625"
"1","1400.1826171875","1400.1826171875","1400.1826171875","1432.509765625","1432.509765625","1432.509765625","1443.56103515625","1443.56103515625","1443.56103515625","1403.09765625","1403.09765625","1403.09765625","1402.8046875","1402.8046875","1402.8046875","1445.31103515625","1445.31103515625","1445.31103515625"
"2","1399.1826171875","1399.1826171875","1399.1826171875","1431.259765625","1431.259765625","1431.259765625","1444.43603515625","1444.43603515625","1444.43603515625","1404.09765625","1404.09765625","1404.09765625","1403.3046875","1403.3046875","1403.3046875","1447.18603515625","1447.18603515625","1447.18603515625"
"3","1400.6826171875","1400.6826171875","1400.6826171875","1433.259765625","1433.259765625","1433.259765625","1444.43603515625","1444.43603515625","1444.43603515625","1404.4697265625","1404.4697265625","1404.4697265625","1400.9326171875","1400.9326171875","1400.9326171875","1444.93603515625","1444.93603515625","1444.93603515625"
"4","1400.6826171875","1400.6826171875","1400.6826171875","1431.509765625","1431.509765625","1431.509765625","1445.18603515625","1445.18603515625","1445.18603515625","1403.84765625","1403.84765625","1403.84765625","1403.8076171875","1403.8076171875","1403.8076171875","1446.43603515625","1446.43603515625","1446.43603515625"
"5","1400.1826171875","1400.1826171875","1400.1826171875","1432.259765625","1432.259765625","1432.259765625","1444.68603515625","1444.68603515625","1444.68603515625","1402.22265625","1402.22265625","1402.22265625","1403.8076171875","1403.8076171875","1403.8076171875","1445.43603515625","1445.43603515625","1445.43603515625"
"6","1401.6826171875","1401.6826171875","1401.6826171875","1431.509765625","1431.509765625","1431.509765625","1443.55810546875","1443.55810546875","1443.55810546875","1403.09765625","1403.09765625","1403.09765625","1401.1826171875","1401.1826171875","1401.1826171875","1446.30810546875","1446.30810546875","1446.30810546875"
"7","1399.1826171875","1399.1826171875","1399.1826171875","1432.5068359375","1432.5068359375","1432.5068359375","1444.18603515625","1444.18603515625","1444.18603515625","1404.0947265625","1404.0947265625","1404.0947265625","1402.8076171875","1402.8076171875","1402.8076171875","1445.93603515625","1445.93603515625","1445.93603515625"
"8","1401.1826171875","1401.1826171875","1401.1826171875","1432.509765625","1432.509765625","1432.509765625","1445.55810546875","1445.55810546875","1445.55810546875","1402.22265625","1402.22265625","1402.22265625","1403.8076171875","1403.8076171875","1403.8076171875","1445.93603515625","1445.93603515625","1445.93603515625"
"9","1399.4326171875","1399.4326171875","1399.4326171875","1432.509765625","1432.509765625","1432.509765625","1444.81103515625","1444.81103515625","1444.81103515625","1402.72265625","1402.72265625","1402.72265625","1401.6826171875","1401.6826171875","1401.6826171875","1445.06103515625","1445.06103515625","1445.06103515625"
