,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,30.207876470724372,44.56741076916247,1.00447908889071,0.7827812378593628,44.08840598556176
adafactor,30.207876470724372,0.0,14.254867868999758,29.524032908062253,30.04030405598067,13.838818454556531
adamw,44.56741076916247,14.254867868999758,0.0,43.77200699217462,44.26935210061816,1.0679100979259986
adam-mini,1.00447908889071,29.524032908062253,43.77200699217462,0.0,0.8621979308407554,43.32447191261898
sgd,0.7827812378593628,30.04030405598067,44.26935210061816,0.8621979308407554,0.0,43.81606425544029
adam,44.08840598556176,13.838818454556531,1.0679100979259986,43.32447191261898,43.81606425544029,0.0
