,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,1.1167281164043266,0.9192688943526478,0.9443690525170864,0.8889705532159508,0.9218702519559564
adafactor,1.1167281164043266,0.0,1.264731496986194,1.150595109576635,1.0960910781006,1.1836797957807528
adamw,0.9192688943526478,1.264731496986194,0.0,0.7623602835439655,0.8887076348691684,0.8056904682824668
adam-mini,0.9443690525170864,1.150595109576635,0.7623602835439655,0.0,0.9086664375226071,0.7730109873302352
sgd,0.8889705532159508,1.0960910781006,0.8887076348691684,0.9086664375226071,0.0,0.8355943598261651
adam,0.9218702519559564,1.1836797957807528,0.8056904682824668,0.7730109873302352,0.8355943598261651,0.0
