"Step","ViT-Tiny_cifar10_lion_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_lion_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_lion_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adafactor_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adafactor_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adafactor_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adamw_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adamw_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adamw_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adam-mini_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adam-mini_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adam-mini_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_sgd_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_sgd_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_sgd_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adam_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adam_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adam_256 - memory/train_peak_gpu_memory_mb__MAX"
"0","2552.49072265625","2552.49072265625","2552.49072265625","2552.88330078125","2552.88330078125","2552.88330078125","2572.97021484375","2572.97021484375","2572.97021484375","2552.76513671875","2552.76513671875","2552.76513671875","2552.49072265625","2552.49072265625","2552.49072265625","2572.97021484375","2572.97021484375","2572.97021484375"
"1","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
"2","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
"3","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
"4","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
"5","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
"6","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
"7","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
"8","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
"9","2572.97021484375","2572.97021484375","2572.97021484375","2573.36279296875","2573.36279296875","2573.36279296875","2593.44970703125","2593.44970703125","2593.44970703125","2573.24462890625","2573.24462890625","2573.24462890625","2572.97021484375","2572.97021484375","2572.97021484375","2593.44970703125","2593.44970703125","2593.44970703125"
