"Step","ViT-Tiny_cifar10_lion_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_lion_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_lion_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar10_adam_512 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar10_adam_512 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar10_adam_512 - memory/train_peak_gpu_memory_mb__MAX"
"0","5022.44775390625","5022.44775390625","5022.44775390625","5022.84033203125","5022.84033203125","5022.84033203125","5042.92724609375","5042.92724609375","5042.92724609375","5022.72216796875","5022.72216796875","5022.72216796875","5022.44775390625","5022.44775390625","5022.44775390625","5042.92724609375","5042.92724609375","5042.92724609375"
"1","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"2","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"3","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"4","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"5","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"6","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"7","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"8","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"9","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"10","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"11","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
"12","5042.92724609375","5042.92724609375","5042.92724609375","5043.31982421875","5043.31982421875","5043.31982421875","5063.40673828125","5063.40673828125","5063.40673828125","5043.20166015625","5043.20166015625","5043.20166015625","5042.92724609375","5042.92724609375","5042.92724609375","5063.40673828125","5063.40673828125","5063.40673828125"
