"Step","ResNet-18_cifar100_lion_512 - val/loss","ResNet-18_cifar100_lion_512 - val/loss__MIN","ResNet-18_cifar100_lion_512 - val/loss__MAX","ResNet-18_cifar100_adafactor_512 - val/loss","ResNet-18_cifar100_adafactor_512 - val/loss__MIN","ResNet-18_cifar100_adafactor_512 - val/loss__MAX","ResNet-18_cifar100_adamw_512 - val/loss","ResNet-18_cifar100_adamw_512 - val/loss__MIN","ResNet-18_cifar100_adamw_512 - val/loss__MAX","ResNet-18_cifar100_adam-mini_512 - val/loss","ResNet-18_cifar100_adam-mini_512 - val/loss__MIN","ResNet-18_cifar100_adam-mini_512 - val/loss__MAX","ResNet-18_cifar100_sgd_512 - val/loss","ResNet-18_cifar100_sgd_512 - val/loss__MIN","ResNet-18_cifar100_sgd_512 - val/loss__MAX","ResNet-18_cifar100_adam_512 - val/loss","ResNet-18_cifar100_adam_512 - val/loss__MIN","ResNet-18_cifar100_adam_512 - val/loss__MAX"
"10","1.789422297668457","1.789422297668457","1.789422297668457","1.8983641960144042","1.8983641960144042","1.8983641960144042","2.1093547576904297","2.1093547576904297","2.1093547576904297","1.8654127656936645","1.8654127656936645","1.8654127656936645","2.7362846099853515","2.7362846099853515","2.7362846099853515","1.9651957553863526","1.9651957553863526","1.9651957553863526"
"11","1.7252602355957032","1.7252602355957032","1.7252602355957032","1.8480251770019531","1.8480251770019531","1.8480251770019531","1.8236633550643921","1.8236633550643921","1.8236633550643921","1.8923769649505615","1.8923769649505615","1.8923769649505615","2.6122175815582276","2.6122175815582276","2.6122175815582276","1.9373672668457032","1.9373672668457032","1.9373672668457032"
"12","1.6581857168197631","1.6581857168197631","1.6581857168197631","1.8827744808197022","1.8827744808197022","1.8827744808197022","1.679220379447937","1.679220379447937","1.679220379447937","1.8519300065994262","1.8519300065994262","1.8519300065994262","2.276302560043335","2.276302560043335","2.276302560043335","1.811422866821289","1.811422866821289","1.811422866821289"
"13","1.6968973686218263","1.6968973686218263","1.6968973686218263","1.7141393726348877","1.7141393726348877","1.7141393726348877","1.7193858869552612","1.7193858869552612","1.7193858869552612","1.9478209894180298","1.9478209894180298","1.9478209894180298","2.2772207786560057","2.2772207786560057","2.2772207786560057","1.7174520566940308","1.7174520566940308","1.7174520566940308"
"14","1.696092109489441","1.696092109489441","1.696092109489441","1.8087286447525024","1.8087286447525024","1.8087286447525024","1.8337742813110351","1.8337742813110351","1.8337742813110351","1.8972214950561523","1.8972214950561523","1.8972214950561523","2.1898238250732422","2.1898238250732422","2.1898238250732422","1.7232346452713012","1.7232346452713012","1.7232346452713012"
"15","1.8192236770629884","1.8192236770629884","1.8192236770629884","1.7356907989501953","1.7356907989501953","1.7356907989501953","1.813853736114502","1.813853736114502","1.813853736114502","1.91984917011261","1.91984917011261","1.91984917011261","2.3113687442779542","2.3113687442779542","2.3113687442779542","1.7314289598464965","1.7314289598464965","1.7314289598464965"
"16","1.800813310623169","1.800813310623169","1.800813310623169","1.7031454217910766","1.7031454217910766","1.7031454217910766","1.7574062870025635","1.7574062870025635","1.7574062870025635","1.6218388000488282","1.6218388000488282","1.6218388000488282","2.421252503967285","2.421252503967285","2.421252503967285","1.66831402759552","1.66831402759552","1.66831402759552"
"17","1.774395774269104","1.774395774269104","1.774395774269104","1.6002381046295167","1.6002381046295167","1.6002381046295167","1.7618924961090088","1.7618924961090088","1.7618924961090088","1.6776765699386598","1.6776765699386598","1.6776765699386598","2.14090838470459","2.14090838470459","2.14090838470459","1.5821220462799073","1.5821220462799073","1.5821220462799073"
"18","1.927765142250061","1.927765142250061","1.927765142250061","1.7143257354736328","1.7143257354736328","1.7143257354736328","1.794944635772705","1.794944635772705","1.794944635772705","1.6615561763763427","1.6615561763763427","1.6615561763763427","1.9133556898117066","1.9133556898117066","1.9133556898117066","1.7646512147903441","1.7646512147903441","1.7646512147903441"
"19","1.9045945907592774","1.9045945907592774","1.9045945907592774","1.911334641647339","1.911334641647339","1.911334641647339","1.6077010736465454","1.6077010736465454","1.6077010736465454","1.5718463205337525","1.5718463205337525","1.5718463205337525","1.8335177967071534","1.8335177967071534","1.8335177967071534","1.7930458656311035","1.7930458656311035","1.7930458656311035"
"20","1.9993276123046875","1.9993276123046875","1.9993276123046875","1.6522025997161864","1.6522025997161864","1.6522025997161864","1.7919973669052125","1.7919973669052125","1.7919973669052125","1.7126094848632814","1.7126094848632814","1.7126094848632814","2.0722608306884767","2.0722608306884767","2.0722608306884767","1.582435065460205","1.582435065460205","1.582435065460205"
"21","2.077541400718689","2.077541400718689","2.077541400718689","1.72548090801239","1.72548090801239","1.72548090801239","1.7650594552993775","1.7650594552993775","1.7650594552993775","1.7361725061416626","1.7361725061416626","1.7361725061416626","2.2118995887756348","2.2118995887756348","2.2118995887756348","1.677189568710327","1.677189568710327","1.677189568710327"
"22","2.060032625770569","2.060032625770569","2.060032625770569","1.6754506401062013","1.6754506401062013","1.6754506401062013","1.6071988183975219","1.6071988183975219","1.6071988183975219","1.5147679149627686","1.5147679149627686","1.5147679149627686","2.224589371109009","2.224589371109009","2.224589371109009","1.5815920541763306","1.5815920541763306","1.5815920541763306"
"23","2.170176750564575","2.170176750564575","2.170176750564575","1.7140900985717773","1.7140900985717773","1.7140900985717773","1.768827855682373","1.768827855682373","1.768827855682373","1.5980735530853272","1.5980735530853272","1.5980735530853272","1.7284496891021728","1.7284496891021728","1.7284496891021728","1.6276630933761598","1.6276630933761598","1.6276630933761598"
"24","2.160349766921997","2.160349766921997","2.160349766921997","1.6667978324890136","1.6667978324890136","1.6667978324890136","1.7902102294921876","1.7902102294921876","1.7902102294921876","1.6228303272247315","1.6228303272247315","1.6228303272247315","2.2941668952941896","2.2941668952941896","2.2941668952941896","1.5981692962646485","1.5981692962646485","1.5981692962646485"
"25","2.186656946182251","2.186656946182251","2.186656946182251","1.8267300849914552","1.8267300849914552","1.8267300849914552","1.5772826179504396","1.5772826179504396","1.5772826179504396","1.6432230182647705","1.6432230182647705","1.6432230182647705","1.8932063209533692","1.8932063209533692","1.8932063209533692","1.6945437105178833","1.6945437105178833","1.6945437105178833"
"26","2.1741892589569094","2.1741892589569094","2.1741892589569094","1.7785717830657959","1.7785717830657959","1.7785717830657959","1.7371086242675782","1.7371086242675782","1.7371086242675782","1.6966530477523805","1.6966530477523805","1.6966530477523805","1.925370945739746","1.925370945739746","1.925370945739746","1.6056304092407228","1.6056304092407228","1.6056304092407228"
"27","2.3049499572753906","2.3049499572753906","2.3049499572753906","1.7199886348724365","1.7199886348724365","1.7199886348724365","1.6799427415847779","1.6799427415847779","1.6799427415847779","1.577597430038452","1.577597430038452","1.577597430038452","1.957603519821167","1.957603519821167","1.957603519821167","1.6417180238723754","1.6417180238723754","1.6417180238723754"
"28","2.219598794555664","2.219598794555664","2.219598794555664","1.6108589845657348","1.6108589845657348","1.6108589845657348","1.685065089225769","1.685065089225769","1.685065089225769","1.6863233156204223","1.6863233156204223","1.6863233156204223","1.703590447616577","1.703590447616577","1.703590447616577","1.682449494934082","1.682449494934082","1.682449494934082"
"29","2.261326022720337","2.261326022720337","2.261326022720337","1.7067635505676269","1.7067635505676269","1.7067635505676269","1.7185465314865112","1.7185465314865112","1.7185465314865112","1.7223123153686524","1.7223123153686524","1.7223123153686524","1.967981476211548","1.967981476211548","1.967981476211548","1.750046584892273","1.750046584892273","1.750046584892273"
"30","2.254742414665222","2.254742414665222","2.254742414665222","1.666597477912903","1.666597477912903","1.666597477912903","1.6966669227600097","1.6966669227600097","1.6966669227600097","1.6444937250137328","1.6444937250137328","1.6444937250137328","2.511750843811035","2.511750843811035","2.511750843811035","1.7594255548477173","1.7594255548477173","1.7594255548477173"
"31","2.3703030223846437","2.3703030223846437","2.3703030223846437","1.770403699684143","1.770403699684143","1.770403699684143","1.7226573249816894","1.7226573249816894","1.7226573249816894","1.7481224229812622","1.7481224229812622","1.7481224229812622","2.137920130157471","2.137920130157471","2.137920130157471","1.753223051071167","1.753223051071167","1.753223051071167"
"32","2.249815570449829","2.249815570449829","2.249815570449829","1.8303111574172974","1.8303111574172974","1.8303111574172974","1.7137861701965331","1.7137861701965331","1.7137861701965331","1.671435935974121","1.671435935974121","1.671435935974121","1.9304549938201905","1.9304549938201905","1.9304549938201905","1.670349758720398","1.670349758720398","1.670349758720398"
"33","","","","1.8999197021484375","1.8999197021484375","1.8999197021484375","1.8782165676116944","1.8782165676116944","1.8782165676116944","1.623528802871704","1.623528802871704","1.623528802871704","1.9823153291702271","1.9823153291702271","1.9823153291702271","1.7554095985412597","1.7554095985412597","1.7554095985412597"
"34","","","","1.8857877620697021","1.8857877620697021","1.8857877620697021","1.7338164543151855","1.7338164543151855","1.7338164543151855","1.705449007987976","1.705449007987976","1.705449007987976","2.068819911956787","2.068819911956787","2.068819911956787","1.748674341583252","1.748674341583252","1.748674341583252"
"35","","","","1.7677534551620484","1.7677534551620484","1.7677534551620484","1.7389955028533937","1.7389955028533937","1.7389955028533937","1.7892441270828248","1.7892441270828248","1.7892441270828248","2.5900399974823","2.5900399974823","2.5900399974823","1.792487586402893","1.792487586402893","1.792487586402893"
"36","","","","1.971725128555298","1.971725128555298","1.971725128555298","1.7739491373062133","1.7739491373062133","1.7739491373062133","1.788128642654419","1.788128642654419","1.788128642654419","2.140470819854736","2.140470819854736","2.140470819854736","1.7282364418029785","1.7282364418029785","1.7282364418029785"
"37","","","","1.8685056154251098","1.8685056154251098","1.8685056154251098","1.7979596057891847","1.7979596057891847","1.7979596057891847","1.825130164527893","1.825130164527893","1.825130164527893","1.7934168567657471","1.7934168567657471","1.7934168567657471","1.7406347661972046","1.7406347661972046","1.7406347661972046"
"38","","","","","","","1.7580453554153443","1.7580453554153443","1.7580453554153443","1.7509200393676758","1.7509200393676758","1.7509200393676758","1.8981422592163086","1.8981422592163086","1.8981422592163086","","",""
"39","","","","","","","1.7919231510162354","1.7919231510162354","1.7919231510162354","1.7448330617904664","1.7448330617904664","1.7448330617904664","1.6993905807495118","1.6993905807495118","1.6993905807495118","","",""
"40","","","","","","","1.9166348070144654","1.9166348070144654","1.9166348070144654","2.0766724300384523","2.0766724300384523","2.0766724300384523","2.073982031440735","2.073982031440735","2.073982031440735","","",""
"41","","","","","","","1.9317596807479858","1.9317596807479858","1.9317596807479858","1.71764779586792","1.71764779586792","1.71764779586792","2.1183090206146242","2.1183090206146242","2.1183090206146242","","",""
"42","","","","","","","1.9695359340667724","1.9695359340667724","1.9695359340667724","1.7967859199523926","1.7967859199523926","1.7967859199523926","1.9947929862976075","1.9947929862976075","1.9947929862976075","","",""
"43","","","","","","","1.8744162725448608","1.8744162725448608","1.8744162725448608","","","","1.7917008411407471","1.7917008411407471","1.7917008411407471","","",""
"44","","","","","","","1.8802736413955687","1.8802736413955687","1.8802736413955687","","","","1.8734773117065429","1.8734773117065429","1.8734773117065429","","",""
"45","","","","","","","1.9281225095748902","1.9281225095748902","1.9281225095748902","","","","1.5912004892349243","1.5912004892349243","1.5912004892349243","","",""
"46","","","","","","","","","","","","","1.7321952621459962","1.7321952621459962","1.7321952621459962","","",""
"47","","","","","","","","","","","","","1.8103336643218995","1.8103336643218995","1.8103336643218995","","",""
"48","","","","","","","","","","","","","1.7128257799148559","1.7128257799148559","1.7128257799148559","","",""
"49","","","","","","","","","","","","","1.7954577823638915","1.7954577823638915","1.7954577823638915","","",""
"50","","","","","","","","","","","","","1.7921580869674683","1.7921580869674683","1.7921580869674683","","",""
"51","","","","","","","","","","","","","1.8336955963134767","1.8336955963134767","1.8336955963134767","","",""
"52","","","","","","","","","","","","","1.8595760578155518","1.8595760578155518","1.8595760578155518","","",""
"53","","","","","","","","","","","","","1.9974257900238037","1.9974257900238037","1.9974257900238037","","",""
"54","","","","","","","","","","","","","1.8132059436798096","1.8132059436798096","1.8132059436798096","","",""
"55","","","","","","","","","","","","","1.744781092453003","1.744781092453003","1.744781092453003","","",""
"56","","","","","","","","","","","","","1.6799404796600341","1.6799404796600341","1.6799404796600341","","",""
"57","","","","","","","","","","","","","1.6344338975906372","1.6344338975906372","1.6344338975906372","","",""
"58","","","","","","","","","","","","","1.9349320476531982","1.9349320476531982","1.9349320476531982","","",""
"59","","","","","","","","","","","","","2.0133389350891115","2.0133389350891115","2.0133389350891115","","",""
"60","","","","","","","","","","","","","2.032956959915161","2.032956959915161","2.032956959915161","","",""
"61","","","","","","","","","","","","","1.7545928853988648","1.7545928853988648","1.7545928853988648","","",""
"62","","","","","","","","","","","","","1.7300277786254883","1.7300277786254883","1.7300277786254883","","",""
"63","","","","","","","","","","","","","1.6805166320800782","1.6805166320800782","1.6805166320800782","","",""
"64","","","","","","","","","","","","","1.674426329612732","1.674426329612732","1.674426329612732","","",""
"65","","","","","","","","","","","","","1.6389858751296997","1.6389858751296997","1.6389858751296997","","",""
