"Step","ViT-Tiny_cifar100_lion_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_lion_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_lion_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adafactor_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adafactor_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adafactor_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adamw_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adamw_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adamw_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adam-mini_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adam-mini_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adam-mini_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_sgd_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_sgd_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_sgd_256 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adam_256 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adam_256 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adam_256 - memory/train_peak_gpu_memory_mb__MAX"
"0","2552.7763671875","2552.7763671875","2552.7763671875","2553.1689453125","2553.1689453125","2553.1689453125","2573.32177734375","2573.32177734375","2573.32177734375","2553.05078125","2553.05078125","2553.05078125","2552.7763671875","2552.7763671875","2552.7763671875","2573.32177734375","2573.32177734375","2573.32177734375"
"1","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
"2","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
"3","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
"4","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
"5","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
"6","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
"7","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
"8","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
"9","2573.32177734375","2573.32177734375","2573.32177734375","2573.71435546875","2573.71435546875","2573.71435546875","2593.8671875","2593.8671875","2593.8671875","2573.59619140625","2573.59619140625","2573.59619140625","2573.32177734375","2573.32177734375","2573.32177734375","2593.8671875","2593.8671875","2593.8671875"
