"Step","ViT-Tiny_cifar100_lion_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_lion_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_lion_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adafactor_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adafactor_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adafactor_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adamw_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adamw_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adamw_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adam-mini_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adam-mini_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adam-mini_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_sgd_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_sgd_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_sgd_1024 - memory/train_peak_gpu_memory_mb__MAX","ViT-Tiny_cifar100_adam_1024 - memory/train_peak_gpu_memory_mb","ViT-Tiny_cifar100_adam_1024 - memory/train_peak_gpu_memory_mb__MIN","ViT-Tiny_cifar100_adam_1024 - memory/train_peak_gpu_memory_mb__MAX"
"0","9918.9111328125","9918.9111328125","9918.9111328125","9919.3037109375","9919.3037109375","9919.3037109375","9939.45654296875","9939.45654296875","9939.45654296875","9919.185546875","9919.185546875","9919.185546875","9918.9111328125","9918.9111328125","9918.9111328125","9939.45654296875","9939.45654296875","9939.45654296875"
"1","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
"2","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
"3","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
"4","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
"5","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
"6","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
"7","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
"8","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
"9","9939.45654296875","9939.45654296875","9939.45654296875","9939.84912109375","9939.84912109375","9939.84912109375","9960.001953125","9960.001953125","9960.001953125","9939.73095703125","9939.73095703125","9939.73095703125","9939.45654296875","9939.45654296875","9939.45654296875","9960.001953125","9960.001953125","9960.001953125"
