"Step","ViT-Tiny_cifar10_lion_1024 - time_total/seconds","ViT-Tiny_cifar10_lion_1024 - time_total/seconds__MIN","ViT-Tiny_cifar10_lion_1024 - time_total/seconds__MAX","ViT-Tiny_cifar10_adafactor_1024 - time_total/seconds","ViT-Tiny_cifar10_adafactor_1024 - time_total/seconds__MIN","ViT-Tiny_cifar10_adafactor_1024 - time_total/seconds__MAX","ViT-Tiny_cifar10_adamw_1024 - time_total/seconds","ViT-Tiny_cifar10_adamw_1024 - time_total/seconds__MIN","ViT-Tiny_cifar10_adamw_1024 - time_total/seconds__MAX","ViT-Tiny_cifar10_adam-mini_1024 - time_total/seconds","ViT-Tiny_cifar10_adam-mini_1024 - time_total/seconds__MIN","ViT-Tiny_cifar10_adam-mini_1024 - time_total/seconds__MAX","ViT-Tiny_cifar10_sgd_1024 - time_total/seconds","ViT-Tiny_cifar10_sgd_1024 - time_total/seconds__MIN","ViT-Tiny_cifar10_sgd_1024 - time_total/seconds__MAX","ViT-Tiny_cifar10_adam_1024 - time_total/seconds","ViT-Tiny_cifar10_adam_1024 - time_total/seconds__MIN","ViT-Tiny_cifar10_adam_1024 - time_total/seconds__MAX"
"0","4.134415864944458","4.134415864944458","4.134415864944458","4.625075817108154","4.625075817108154","4.625075817108154","4.229284763336182","4.229284763336182","4.229284763336182","4.21712064743042","4.21712064743042","4.21712064743042","4.365033864974976","4.365033864974976","4.365033864974976","4.170928239822388","4.170928239822388","4.170928239822388"
"1","4.309819936752319","4.309819936752319","4.309819936752319","4.324545621871948","4.324545621871948","4.324545621871948","4.194788694381714","4.194788694381714","4.194788694381714","4.170301675796509","4.170301675796509","4.170301675796509","4.1372902393341064","4.1372902393341064","4.1372902393341064","4.140868663787842","4.140868663787842","4.140868663787842"
"2","4.320176362991333","4.320176362991333","4.320176362991333","4.332437038421631","4.332437038421631","4.332437038421631","4.196951389312744","4.196951389312744","4.196951389312744","4.255105495452881","4.255105495452881","4.255105495452881","4.150673151016235","4.150673151016235","4.150673151016235","4.117152690887451","4.117152690887451","4.117152690887451"
"3","4.25485634803772","4.25485634803772","4.25485634803772","4.344125032424927","4.344125032424927","4.344125032424927","4.201857805252075","4.201857805252075","4.201857805252075","4.267453193664551","4.267453193664551","4.267453193664551","4.151528835296631","4.151528835296631","4.151528835296631","4.168140649795532","4.168140649795532","4.168140649795532"
"4","4.252575159072876","4.252575159072876","4.252575159072876","4.357400417327881","4.357400417327881","4.357400417327881","4.200303554534912","4.200303554534912","4.200303554534912","4.2684149742126465","4.2684149742126465","4.2684149742126465","4.152333736419678","4.152333736419678","4.152333736419678","4.185031175613403","4.185031175613403","4.185031175613403"
"5","4.24757719039917","4.24757719039917","4.24757719039917","4.432961940765381","4.432961940765381","4.432961940765381","4.2078492641448975","4.2078492641448975","4.2078492641448975","4.26627516746521","4.26627516746521","4.26627516746521","4.159885883331299","4.159885883331299","4.159885883331299","4.221538066864014","4.221538066864014","4.221538066864014"
"6","4.258467674255371","4.258467674255371","4.258467674255371","4.4497270584106445","4.4497270584106445","4.4497270584106445","4.203575372695923","4.203575372695923","4.203575372695923","4.282129764556885","4.282129764556885","4.282129764556885","4.062890291213989","4.062890291213989","4.062890291213989","4.23162841796875","4.23162841796875","4.23162841796875"
"7","4.257227182388306","4.257227182388306","4.257227182388306","4.4385974407196045","4.4385974407196045","4.4385974407196045","4.144609451293945","4.144609451293945","4.144609451293945","4.270257472991943","4.270257472991943","4.270257472991943","4.06664514541626","4.06664514541626","4.06664514541626","4.232673406600952","4.232673406600952","4.232673406600952"
"8","4.157003402709961","4.157003402709961","4.157003402709961","4.449754953384399","4.449754953384399","4.449754953384399","4.112717866897583","4.112717866897583","4.112717866897583","4.275748252868652","4.275748252868652","4.275748252868652","4.166329383850098","4.166329383850098","4.166329383850098","4.23576283454895","4.23576283454895","4.23576283454895"
"9","4.166605234146118","4.166605234146118","4.166605234146118","4.438880681991577","4.438880681991577","4.438880681991577","4.1865622997283936","4.1865622997283936","4.1865622997283936","4.277230739593506","4.277230739593506","4.277230739593506","4.170125961303711","4.170125961303711","4.170125961303711","4.239084243774414","4.239084243774414","4.239084243774414"
"10","4.215488433837891","4.215488433837891","4.215488433837891","4.449562311172485","4.449562311172485","4.449562311172485","4.212054014205933","4.212054014205933","4.212054014205933","4.276551008224487","4.276551008224487","4.276551008224487","4.173593997955322","4.173593997955322","4.173593997955322","4.231605529785156","4.231605529785156","4.231605529785156"
"11","4.252303838729858","4.252303838729858","4.252303838729858","4.449512481689453","4.449512481689453","4.449512481689453","4.219688653945923","4.219688653945923","4.219688653945923","4.287472248077393","4.287472248077393","4.287472248077393","4.179301023483276","4.179301023483276","4.179301023483276","4.224605560302734","4.224605560302734","4.224605560302734"
"12","4.259561061859131","4.259561061859131","4.259561061859131","4.454591274261475","4.454591274261475","4.454591274261475","4.215327978134155","4.215327978134155","4.215327978134155","4.182082414627075","4.182082414627075","4.182082414627075","4.178790807723999","4.178790807723999","4.178790807723999","4.234748363494873","4.234748363494873","4.234748363494873"
"13","4.266754865646362","4.266754865646362","4.266754865646362","4.457956790924072","4.457956790924072","4.457956790924072","4.213710784912109","4.213710784912109","4.213710784912109","4.183167219161987","4.183167219161987","4.183167219161987","4.172526597976685","4.172526597976685","4.172526597976685","4.2428648471832275","4.2428648471832275","4.2428648471832275"
"14","4.25236177444458","4.25236177444458","4.25236177444458","4.444025039672852","4.444025039672852","4.444025039672852","4.213964223861694","4.213964223861694","4.213964223861694","4.249669790267944","4.249669790267944","4.249669790267944","4.177899599075317","4.177899599075317","4.177899599075317","4.191210508346558","4.191210508346558","4.191210508346558"
