,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.440610619691702,0.12905708184609047,0.0702474071429326,0.14684854103968695,0.08239734631318313
adafactor,0.440610619691702,0.0,0.5576321321820455,0.38955922921498615,0.5881374441087246,0.511176902739728
adamw,0.12905708184609047,0.5576321321820455,0.0,0.17014937003453573,0.055943470152597576,0.06328195040343237
adam-mini,0.0702474071429326,0.38955922921498615,0.17014937003453573,0.0,0.19714696804682413,0.1236889680226644
sgd,0.14684854103968695,0.5881374441087246,0.055943470152597576,0.19714696804682413,0.0,0.0854238682105893
adam,0.08239734631318313,0.511176902739728,0.06328195040343237,0.1236889680226644,0.0854238682105893,0.0
