,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.06793950765560841,0.07964442937802044,0.03349582354227701,0.030632122969016063,0.05102523167928061
adafactor,0.06793950765560841,0.0,0.0951937728457981,0.08953231705559626,0.07687918345133464,0.07768198649088547
adamw,0.07964442937802044,0.0951937728457981,0.0,0.0924051518135882,0.06280306045045247,0.05027318000793457
adam-mini,0.03349582354227701,0.08953231705559626,0.0924051518135882,0.0,0.05893153332649392,0.06420705673542426
sgd,0.030632122969016063,0.07687918345133464,0.06280306045045247,0.05893153332649392,0.0,0.03935355865038359
adam,0.05102523167928061,0.07768198649088547,0.05027318000793457,0.06420705673542426,0.03935355865038359,0.0
