,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.06462021475321686,0.08657071036471162,0.06591998866561655,0.07032694433810509,0.06786539155822906
adafactor,0.06462021475321686,0.0,0.053596369571207926,0.04930059658579664,0.05743203076978955,0.0594467226804342
adamw,0.08657071036471162,0.053596369571207926,0.0,0.07515268221809611,0.06610014013345414,0.05639867563067349
adam-mini,0.06591998866561655,0.04930059658579664,0.07515268221809611,0.0,0.0765086171834669,0.07312677196756535
sgd,0.07032694433810509,0.05743203076978955,0.06610014013345414,0.0765086171834669,0.0,0.06476970633405514
adam,0.06786539155822906,0.0594467226804342,0.05639867563067349,0.07312677196756535,0.06476970633405514,0.0
