,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,0.05409875756898449,0.09400541523220388,0.054563411207912374,0.04806420079334763,0.06946026288876983
adafactor,0.05409875756898449,0.0,0.09008293135961569,0.07415648005134609,0.05829124529840955,0.06575920985300752
adamw,0.09400541523220388,0.09008293135961569,0.0,0.10806056120194499,0.08225189203900696,0.06759734283594351
adam-mini,0.054563411207912374,0.07415648005134609,0.10806056120194499,0.0,0.0813572303673017,0.08193213192302817
sgd,0.04806420079334763,0.05829124529840955,0.08225189203900696,0.0813572303673017,0.0,0.05844032177189991
adam,0.06946026288876983,0.06575920985300752,0.06759734283594351,0.08193213192302817,0.05844032177189991,0.0
