,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,1.0182951553321555,0.9760217716956586,1.0655725555705537,0.9962663576357182,1.1124906334316025
adafactor,1.0182951553321555,0.0,0.8193825423033899,0.9931584884798553,0.9613723322242026,1.045995464217454
adamw,0.9760217716956586,0.8193825423033899,0.0,0.8324254972493405,0.9113510550536931,0.9105554732941056
adam-mini,1.0655725555705537,0.9931584884798553,0.8324254972493405,0.0,1.0694177419219946,1.0141454788771973
sgd,0.9962663576357182,0.9613723322242026,0.9113510550536931,1.0694177419219946,0.0,1.026941367689861
adam,1.1124906334316025,1.045995464217454,0.9105554732941056,1.0141454788771973,1.026941367689861,0.0
