,lion,adafactor,adamw,adam-mini,sgd,adam
lion,0.0,31.29833283335439,43.23303940245279,2.0964012308856734,2.1088140778940887,43.97758219801929
adafactor,31.29833283335439,0.0,11.942748062470129,30.344776275394917,30.243828388503,12.747017431655877
adamw,43.23303940245279,11.942748062470129,0.0,42.390323376512725,42.17403258399181,1.5162898161100424
adam-mini,2.0964012308856734,30.344776275394917,42.390323376512725,0.0,1.1498315905867988,43.12540383667064
sgd,2.1088140778940887,30.243828388503,42.17403258399181,1.1498315905867988,0.0,42.91572347335656
adam,43.97758219801929,12.747017431655877,1.5162898161100424,43.12540383667064,42.91572347335656,0.0
