"Step","ResNet-18_cifar10_lion_512 - train/loss","ResNet-18_cifar10_lion_512 - train/loss__MIN","ResNet-18_cifar10_lion_512 - train/loss__MAX","ResNet-18_cifar10_adafactor_512 - train/loss","ResNet-18_cifar10_adafactor_512 - train/loss__MIN","ResNet-18_cifar10_adafactor_512 - train/loss__MAX","ResNet-18_cifar10_adamw_512 - train/loss","ResNet-18_cifar10_adamw_512 - train/loss__MIN","ResNet-18_cifar10_adamw_512 - train/loss__MAX","ResNet-18_cifar10_adam-mini_512 - train/loss","ResNet-18_cifar10_adam-mini_512 - train/loss__MIN","ResNet-18_cifar10_adam-mini_512 - train/loss__MAX","ResNet-18_cifar10_sgd_512 - train/loss","ResNet-18_cifar10_sgd_512 - train/loss__MIN","ResNet-18_cifar10_sgd_512 - train/loss__MAX","ResNet-18_cifar10_adam_512 - train/loss","ResNet-18_cifar10_adam_512 - train/loss__MIN","ResNet-18_cifar10_adam_512 - train/loss__MAX"
"0","1.8580561485290528","1.8580561485290528","1.8580561485290528","1.8093660305023194","1.8093660305023194","1.8093660305023194","1.7069676919937133","1.7069676919937133","1.7069676919937133","1.7185535488128663","1.7185535488128663","1.7185535488128663","1.9471813165664673","1.9471813165664673","1.9471813165664673","1.7341956308364868","1.7341956308364868","1.7341956308364868"
"1","1.383356219100952","1.383356219100952","1.383356219100952","1.3730558242797852","1.3730558242797852","1.3730558242797852","1.3244489170074463","1.3244489170074463","1.3244489170074463","1.3556695207595826","1.3556695207595826","1.3556695207595826","1.514367608833313","1.514367608833313","1.514367608833313","1.330355498123169","1.330355498123169","1.330355498123169"
"2","1.0917086822509765","1.0917086822509765","1.0917086822509765","1.1274904731750488","1.1274904731750488","1.1274904731750488","1.1151673976898193","1.1151673976898193","1.1151673976898193","1.1311659336090087","1.1311659336090087","1.1311659336090087","1.2766234672546386","1.2766234672546386","1.2766234672546386","1.1025887355804442","1.1025887355804442","1.1025887355804442"
"3","0.8782406781196594","0.8782406781196594","0.8782406781196594","0.9529526573181152","0.9529526573181152","0.9529526573181152","0.9277511500358582","0.9277511500358582","0.9277511500358582","0.9634376512527466","0.9634376512527466","0.9634376512527466","1.0759455061912537","1.0759455061912537","1.0759455061912537","0.9318134612083435","0.9318134612083435","0.9318134612083435"
"4","0.7126446032524109","0.7126446032524109","0.7126446032524109","0.8208618795394897","0.8208618795394897","0.8208618795394897","0.7749000752449036","0.7749000752449036","0.7749000752449036","0.8236073524475097","0.8236073524475097","0.8236073524475097","0.9234215331077575","0.9234215331077575","0.9234215331077575","0.8049150237083436","0.8049150237083436","0.8049150237083436"
"5","0.5900660543441772","0.5900660543441772","0.5900660543441772","0.713004503440857","0.713004503440857","0.713004503440857","0.6964714480400085","0.6964714480400085","0.6964714480400085","0.725033268737793","0.725033268737793","0.725033268737793","0.7765506791114807","0.7765506791114807","0.7765506791114807","0.6937177119255066","0.6937177119255066","0.6937177119255066"
"6","0.49849922332763674","0.49849922332763674","0.49849922332763674","0.6165232229232788","0.6165232229232788","0.6165232229232788","0.6062971240997315","0.6062971240997315","0.6062971240997315","0.6335697437286377","0.6335697437286377","0.6335697437286377","0.6385702657699585","0.6385702657699585","0.6385702657699585","0.5950752200126648","0.5950752200126648","0.5950752200126648"
"7","0.42510795850753785","0.42510795850753785","0.42510795850753785","0.5502206218719482","0.5502206218719482","0.5502206218719482","0.5432833278656006","0.5432833278656006","0.5432833278656006","0.56349255361557","0.56349255361557","0.56349255361557","0.5673260862827301","0.5673260862827301","0.5673260862827301","0.5254992378234863","0.5254992378234863","0.5254992378234863"
"8","0.37091456928253175","0.37091456928253175","0.37091456928253175","0.4952315285682678","0.4952315285682678","0.4952315285682678","0.5018055765151977","0.5018055765151977","0.5018055765151977","0.5150630796432495","0.5150630796432495","0.5150630796432495","0.504884324502945","0.504884324502945","0.504884324502945","0.4939595296859741","0.4939595296859741","0.4939595296859741"
"9","0.3233362203121185","0.3233362203121185","0.3233362203121185","0.45076126251220705","0.45076126251220705","0.45076126251220705","0.45301918106079103","0.45301918106079103","0.45301918106079103","0.46935315055847165","0.46935315055847165","0.46935315055847165","0.46107908411026","0.46107908411026","0.46107908411026","0.4425978217124939","0.4425978217124939","0.4425978217124939"
